Isd_024dd	Vsd_024dd
-1.2140544e-13	0.0020000001
-4.4388801e-13	0.0040000002
-7.6637058e-13	0.0060000001
2.0107712e-13	0.0080000004
2.0107712e-13	0.0099999998
2.0107712e-13	0.012
-1.2140544e-13	0.014
-1.2140544e-13	0.016000001
-7.6637058e-13	0.017999999
-4.4388801e-13	0.02
5.2355971e-13	0.022
-1.2140544e-13	0.024
2.0107712e-13	0.026000001
-1.2140544e-13	0.028000001
-1.0888532e-12	0.029999999
-4.4388801e-13	0.032000002
-1.2140544e-13	0.034000002
2.0107712e-13	0.035999998
2.0107712e-13	0.037999999
-1.2140544e-13	0.039999999
2.0107712e-13	0.041999999
2.0107712e-13	0.044
-4.4388801e-13	0.046
2.0107712e-13	0.048
-1.2140544e-13	0.050000001
2.0107712e-13	0.052000001
-4.4388801e-13	0.054000001
-1.2140544e-13	0.056000002
2.0107712e-13	0.057999998
-1.2140544e-13	0.059999999
-1.2140544e-13	0.061999999
-4.4388801e-13	0.064000003
2.0107712e-13	0.066
-1.2140544e-13	0.068000004
-1.2140544e-13	0.07
2.0107712e-13	0.071999997
2.0107712e-13	0.074000001
-4.4388801e-13	0.075999998
-1.2140544e-13	0.078000002
-1.2140544e-13	0.079999998
2.0107712e-13	0.082000002
-4.4388801e-13	0.083999999
5.2355971e-13	0.086000003
-1.2140544e-13	0.088
2.0107712e-13	0.090000004
2.0107712e-13	0.092
-1.2140544e-13	0.093999997
-1.2140544e-13	0.096000001
-1.2140544e-13	0.097999997
-7.6637058e-13	0.1
2.0107712e-13	0.102
-1.2140544e-13	0.104
-1.2140544e-13	0.106
2.0107712e-13	0.108
-4.4388801e-13	0.11
2.0107712e-13	0.112
2.0107712e-13	0.114
-4.4388801e-13	0.116
2.0107712e-13	0.118
-1.2140544e-13	0.12
-4.4388801e-13	0.122
-1.2140544e-13	0.124
5.2355971e-13	0.126
-1.0888532e-12	0.12800001
-1.2140544e-13	0.13
-1.2140544e-13	0.132
2.0107712e-13	0.134
-1.2140544e-13	0.13600001
5.2355971e-13	0.138
-1.2140544e-13	0.14
-1.2140544e-13	0.142
-1.2140544e-13	0.14399999
-4.4388801e-13	0.146
2.0107712e-13	0.148
-1.2140544e-13	0.15000001
2.0107712e-13	0.152
5.2355971e-13	0.154
-7.6637058e-13	0.156
-4.4388801e-13	0.15800001
-4.4388801e-13	0.16
2.0107712e-13	0.162
-1.2140544e-13	0.164
5.2355971e-13	0.16599999
2.0107712e-13	0.168
2.0107712e-13	0.17
-1.2140544e-13	0.17200001
