Vsd_027	Isd_027
-0.0020000001	4.4664266e-17
-4.3021142e-16	3.2694881e-15
0.0020000001	-6.4049824e-15
0.0040000002	4.4664266e-17
0.0060000001	9.7191356e-15
0.0080000004	4.4664266e-17
0.0099999998	6.4943121e-15
0.012	4.4664266e-17
0.014	2.2618444e-14
0.016000001	1.9393621e-14
0.017999999	2.5843268e-14
0.02	9.7191356e-15
0.022	1.6168797e-14
0.024	1.9393621e-14
0.026000001	2.2618444e-14
0.028000001	4.4664266e-17
0.029999999	2.2618444e-14
0.032000002	1.9393621e-14
0.034000002	1.2943959e-14
0.035999998	-1.2854644e-14
0.037999999	6.4943121e-15
0.039999999	-6.4049824e-15
0.041999999	2.2618444e-14
0.044	3.2694881e-15
0.046	1.2943959e-14
0.048	1.2943959e-14
0.050000001	6.4943121e-15
0.052000001	3.2694881e-15
0.054000001	-9.6298066e-15
0.056000002	3.2694881e-15
0.057999998	4.4664266e-17
0.059999999	3.2694881e-15
0.061999999	-9.6298066e-15
0.064000003	6.4943121e-15
0.066	-1.2854644e-14
0.068000004	1.2943959e-14
0.07	6.4943121e-15
0.071999997	2.5843268e-14
0.074000001	9.7191356e-15
0.075999998	6.4943121e-15
0.078000002	-6.4049824e-15
0.079999998	1.9393621e-14
0.082000002	4.4664266e-17
0.083999999	-9.6298066e-15
0.086000003	3.2694881e-15
0.088	-9.6298066e-15
0.090000004	-3.1801587e-15
0.092	-3.1801587e-15
0.093999997	-3.1801587e-15
0.096000001	-1.6079467e-14
0.097999997	-2.2529115e-14
0.1	-2.2529115e-14
0.102	4.4664266e-17
0.104	4.4664266e-17
0.106	6.4943121e-15
0.108	4.4664266e-17
0.11	1.6168797e-14
0.112	-1.2854644e-14
0.114	6.4943121e-15
0.116	-1.2854644e-14
0.118	-3.1801587e-15
0.12	-1.6079467e-14
0.122	4.4664266e-17
0.124	-9.6298066e-15
0.126	4.4664266e-17
0.12800001	-6.4049824e-15
0.13	3.2694881e-15
0.132	-1.9304291e-14
0.134	-2.5753939e-14
0.13600001	-2.5753939e-14
0.138	6.4943121e-15
0.14	6.4943121e-15
0.142	-9.6298066e-15
0.14399999	-1.2854644e-14
0.146	-2.8978762e-14
0.148	4.4664266e-17
0.15000001	-6.4049824e-15
0.152	3.2694881e-15
0.154	-3.1801587e-15
0.156	-1.2854644e-14
0.15800001	1.6168797e-14
0.16	3.2694881e-15
0.162	1.9393621e-14
0.164	-3.1801587e-15
0.16599999	1.6168797e-14
0.168	-6.4049824e-15
0.17	-6.4049824e-15
0.17200001	-1.9304291e-14
0.17399999	-1.2854644e-14
0.176	-1.6079467e-14
0.178	-1.9304291e-14
0.18000001	-1.6079467e-14
0.182	-3.1801587e-15
0.184	3.2694881e-15
0.186	-2.2529115e-14
0.18799999	-9.6298066e-15
0.19	4.4664266e-17
0.192	-1.2854644e-14
0.19400001	-9.6298066e-15
0.19599999	4.4664266e-17
0.198	-3.1801587e-15
0.2	-3.1801587e-15
0.20200001	4.4664266e-17
0.204	4.4664266e-17
0.206	4.4664266e-17
0.208	6.4943121e-15
0.20999999	-6.4049824e-15
0.212	9.7191356e-15
0.214	-6.4049824e-15
0.21600001	3.2694881e-15
0.21799999	3.2694881e-15
0.22	-9.6298066e-15
0.222	4.4664266e-17
0.22400001	4.4664266e-17
0.226	-3.1801587e-15
0.228	-3.1801587e-15
0.23	-1.2854644e-14
0.23199999	-9.6298066e-15
0.234	-1.9304291e-14
0.236	4.4664266e-17
0.23800001	-1.9304291e-14
0.23999999	1.2943959e-14
0.242	6.4943121e-15
0.244	1.2943959e-14
0.24600001	-3.1801587e-15
0.248	4.4664266e-17
0.25	6.4943121e-15
0.252	4.1967403e-14
0.25400001	3.8742579e-14
0.25600001	7.4215651e-14
0.25799999	8.7114953e-14
0.25999999	1.2258804e-13
0.26199999	1.3548734e-13
0.264	1.9030937e-13
0.266	2.1610797e-13
0.26800001	2.7737968e-13
0.27000001	3.3220171e-13
0.27200001	3.9669822e-13
0.27399999	4.8054366e-13
0.27599999	5.7728843e-13
0.278	6.8693255e-13
0.28	8.1270076e-13
0.28200001	1.0094151e-12
0.28400001	1.1996798e-12
0.28600001	1.418968e-12
0.28799999	1.6930782e-12
0.28999999	2.0252352e-12
0.292	2.3993151e-12
0.294	2.8088679e-12
0.296	3.2764679e-12
0.29800001	3.8666106e-12
0.30000001	4.5373748e-12
0.30199999	5.3210075e-12
0.30399999	6.1755865e-12
0.30599999	7.1430349e-12
0.308	8.1846543e-12
0.31	9.4036393e-12
0.31200001	1.0670996e-11
0.31400001	1.2035099e-11
0.31600001	1.3476597e-11
0.31799999	1.5043865e-11
0.31999999	1.6759474e-11
0.322	1.8587954e-11
0.324	2.0651847e-11
0.32600001	2.2780236e-11
0.32800001	2.5027945e-11
0.33000001	2.7540092e-11
0.33199999	3.0252183e-11
0.33399999	3.311584e-11
0.336	3.6014969e-11
0.338	3.9104369e-11
0.34	4.2493682e-11
0.34200001	4.621516e-11
0.34400001	5.0014035e-11
0.34599999	5.3925787e-11
0.34799999	5.7805295e-11
0.34999999	6.1639652e-11
0.352	6.5883576e-11
0.354	6.980503e-11
0.35600001	7.2404284e-11
0.35800001	7.2384931e-11
0.36000001	7.2381705e-11
0.36199999	7.2378485e-11
0.36399999	7.2384931e-11
0.366	7.2384931e-11
0.368	7.2388158e-11
0.37	7.2378485e-11
0.37200001	7.2388158e-11
0.37400001	7.2384931e-11
0.37599999	7.2391385e-11
0.37799999	7.2394604e-11
0.38	7.2397831e-11
0.382	7.2397831e-11
0.384	7.2407504e-11
0.38600001	7.241073e-11
0.38800001	7.2407504e-11
0.38999999	7.241073e-11
0.39199999	7.2420403e-11
0.39399999	7.2420403e-11
0.396	7.242363e-11
0.398	7.2433302e-11
0.40000001	7.2433302e-11
0.40200001	7.2436529e-11
0.40400001	7.2446202e-11
0.40599999	7.2449428e-11
0.40799999	7.2449428e-11
0.41	7.2459101e-11
